id,upc,product_name,brand_name,recall_date,reason,source,severity,distribution_pattern,plain_language_summary,created_at
1110,70852542003,"clover sonoma cottage cheese low fat saputo cheese usa, inc","SAPUTO CHEESE USA, INC",2/21/26,"Potentially under pasteurized. The firm was notified by the California Department of Agriculture that due to the broken seal on the pasteurizer, the products may be under pasteurized, and they should recall the products.",fda,Class II,"[AL, AZ, CA, IL, MO, MS, NM, NV, UT, WA, WY]",,4/8/26
1111,70852544007,"clover sonoma cottage cheese low fat saputo cheese usa, inc","SAPUTO CHEESE USA, INC",2/21/26,"Potentially under pasteurized. The firm was notified by the California Department of Agriculture that due to the broken seal on the pasteurizer, the products may be under pasteurized, and they should recall the products.",fda,Class II,"[AL, AZ, CA, IL, MO, MS, NM, NV, UT, WA, WY]",,4/8/26
1112,70852615004,"clover sonoma sour cream saputo cheese usa, inc","SAPUTO CHEESE USA, INC",2/21/26,"Potentially under pasteurized. The firm was notified by the California Department of Agriculture that due to the broken seal on the pasteurizer, the products may be under pasteurized, and they should recall the products.",fda,Class II,"[AL, AZ, CA, IL, MO, MS, NM, NV, UT, WA, WY]",,4/8/26
1113,70852618005,"clover sonoma sour cream saputo cheese usa, inc","SAPUTO CHEESE USA, INC",2/21/26,"Potentially under pasteurized. The firm was notified by the California Department of Agriculture that due to the broken seal on the pasteurizer, the products may be under pasteurized, and they should recall the products.",fda,Class II,"[AL, AZ, CA, IL, MO, MS, NM, NV, UT, WA, WY]",,4/8/26
1114,78742116730,"great value lowfat cottage cheese small curd saputo cheese usa, inc","SAPUTO CHEESE USA, INC",2/21/26,"Potentially under pasteurized. The firm was notified by the California Department of Agriculture that due to the broken seal on the pasteurizer, the products may be under pasteurized, and they should recall the products.",fda,Class II,"[AL, AZ, CA, IL, MO, MS, NM, NV, UT, WA, WY]",,4/8/26
1115,78742147970,"great value cottage cheese small curd saputo cheese usa, inc","SAPUTO CHEESE USA, INC",2/21/26,"Potentially under pasteurized. The firm was notified by the California Department of Agriculture that due to the broken seal on the pasteurizer, the products may be under pasteurized, and they should recall the products.",fda,Class II,"[AL, AZ, CA, IL, MO, MS, NM, NV, UT, WA, WY]",,4/8/26
1116,78742372358,"great value cottage cheese small curd saputo cheese usa, inc","SAPUTO CHEESE USA, INC",2/21/26,"Potentially under pasteurized. The firm was notified by the California Department of Agriculture that due to the broken seal on the pasteurizer, the products may be under pasteurized, and they should recall the products.",fda,Class II,"[AL, AZ, CA, IL, MO, MS, NM, NV, UT, WA, WY]",,4/8/26
1117,78742372365,"great value cottage cheese small curd saputo cheese usa, inc","SAPUTO CHEESE USA, INC",2/21/26,"Potentially under pasteurized. The firm was notified by the California Department of Agriculture that due to the broken seal on the pasteurizer, the products may be under pasteurized, and they should recall the products.",fda,Class II,"[AL, AZ, CA, IL, MO, MS, NM, NV, UT, WA, WY]",,4/8/26
1118,78742373393,"great value fat free cottage cheese small curd saputo cheese usa, inc","SAPUTO CHEESE USA, INC",2/21/26,"Potentially under pasteurized. The firm was notified by the California Department of Agriculture that due to the broken seal on the pasteurizer, the products may be under pasteurized, and they should recall the products.",fda,Class II,"[AL, AZ, CA, IL, MO, MS, NM, NV, UT, WA, WY]",,4/8/26
1119,25726310042,king harvest brand jalapeno hummus product is packed in pacific coast fresh co,Pacific Coast Fresh CO,2/24/26,Foreign material (aluminum pieces).,fda,Class II,"[OR, WA]",,4/8/26
1120,25726310059,king harvest brand jalapeno hummus product is packed in pacific coast fresh co,Pacific Coast Fresh CO,2/24/26,Foreign material (aluminum pieces).,fda,Class II,"[OR, WA]",,4/8/26
1121,25726310097,king harvest brand balsamic hummus product is packed in pacific coast fresh co,Pacific Coast Fresh CO,2/24/26,Foreign material (aluminum pieces).,fda,Class II,"[OR, WA]",,4/8/26
1122,25726311087,king harvest brand spinach hummus product is packed in pacific coast fresh co,Pacific Coast Fresh CO,2/24/26,Foreign material (aluminum pieces).,fda,Class II,"[OR, WA]",,4/8/26
1123,25726311186,king harvest brand sundried tomato hummus product is packed in pacific coast fresh co,Pacific Coast Fresh CO,2/24/26,Foreign material (aluminum pieces).,fda,Class II,"[OR, WA]",,4/8/26
1124,25726311216,king harvest brand black olive hummus product is packed in pacific coast fresh co,Pacific Coast Fresh CO,2/24/26,Foreign material (aluminum pieces).,fda,Class II,"[OR, WA]",,4/8/26
1125,25726311261,king harvest brand roasted red pepper hummus product is packed in pacific coast fresh co,Pacific Coast Fresh CO,2/24/26,Foreign material (aluminum pieces).,fda,Class II,"[OR, WA]",,4/8/26
1126,25726311278,king harvest brand roasted red pepper hummus product is packed in pacific coast fresh co,Pacific Coast Fresh CO,2/24/26,Foreign material (aluminum pieces).,fda,Class II,"[OR, WA]",,4/8/26
1127,857866005010,greenway farms of georgia garlic dill pickles chips bluefrog foods,BlueFrog Foods,2/24/26,No process authority,fda,Class II,[GA],,4/8/26
1128,857866005065,greenway farms of georgia jalapeno dill pickles chips bluefrog foods,BlueFrog Foods,2/24/26,No process authority,fda,Class II,[GA],,4/8/26
1129,741643055766,lowes foods sour cream and onion flavored potato chips uncle ray's llc,Uncle Ray's LLC,2/25/26,"Inaccurate nutritional data in Nutrition Facts including but not limited to, understated sodium content. Undeclared ingredients including but not limited to, monosodium glutamate.",fda,Class II,[NC],,4/8/26
1130,850274007928,"c2o coconut water with pulp 17 5 15 pack upc 8 50274 00792 8 tipp distributors, inc. dba novamex","Tipp Distributors, Inc. dba Novamex",2/25/26,"The outer cardboard box for the canned coconut water has the incorrect Nutrition Facts Panel and Ingredient List, which does not include added sugar (5g per 17.5oz can), while the primary packaging (the can) has the correct Nutrition Facts Panel and Ingredient List.",fda,Class III,"[CO, CA, AZ, WA, TX, FL, IL, MO, NJ, MN, MI]",,4/8/26
1131,,butter powder bluegrass ingredients inc.,Bluegrass Ingredients Inc.,2/26/26,Positive Salmonella contamination,fda,Class I,"[FL, IL, MD]",,4/8/26
1132,,butter rich powder bluegrass ingredients inc.,Bluegrass Ingredients Inc.,2/26/26,Potential Salmonella contamination,fda,Class I,"[FL, IL, MD]",,4/8/26
1133,,"pepsin 1 3000 powder 50 item fti g0193 00 american laboratories 5036 south 33rd street omaha nebraska 68107 packed in double poly lined cardboard drums or boxes american laboratories, llc","American Laboratories, LLC",2/26/26,Potential Salmonella contamination.,fda,Class II,"[AZ, CA, FL, MO, NM, OH, SC, UT, WI]",,4/8/26
1134,,"pepsin full strength powder american laboratories, llc","American Laboratories, LLC",2/26/26,Potential Salmonella contamination.,fda,Class II,"[AZ, CA, FL, MO, NM, OH, SC, UT, WI]",,4/8/26
1135,,"pepsin 1 10 000 powder 10 item fti g0193 00 american laboratories 5036 south 33rd street omaha nebraska 68107 packed in double poly lined cardboard drums or boxes american laboratories, llc","American Laboratories, LLC",2/26/26,Potential Salmonella contamination.,fda,Class II,"[AZ, CA, FL, MO, NM, OH, SC, UT, WI]",,4/8/26
1136,,"house of flavors house of flavors, inc.","House Of Flavors, Inc.",2/26/26,Undeclared egg,fda,Class I,[IL],,4/8/26
1137,850033937589,savannah bee company honey bbq sauce mustard net savannah bee company inc.,Savannah Bee Company Inc.,2/27/26,"Undeclared Allergens: Soy & Wheat. The firm was notified by a customer that the product is labeled as Savannah Bee Company Honey BBQ Sauce ""Mustard"", but the product inside the bottle is a different flavor of BBQ sauce. After investigation, the firm determined that the product in the bottle is their Honey BBQ Sauce ""Sweet"". The BBQ sauce ""Sweet"" contains wheat and soy which is not listed on the BBQ Sauce ""Mustard"" label.",fda,Class II,"[AL, AR, AZ, CA, CO, CT, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WY]",,4/8/26
1138,,secondary packaging zhong hua chao mian noodle ingredients enriched flour water starch salt potassium carbonate and benzoate of soda added as preservative f d c yellow color cnc noodle corporation,CNC Noodle Corporation,3/2/26,Undeclared wheat and Yellow #6.,fda,Class II,"[CA, NV]",,4/8/26
1139,,secondary packaging steam noodles ingredients enriched flour water starch salt potassium carbonate and benzoate of soda added as preservativem f d c yellow color cnc noodle corporation,CNC Noodle Corporation,3/2/26,Undeclared wheat.,fda,Class II,"[CA, NV]",,4/8/26
1140,5214822411,item 5650233 vegetable fried rice 1lb per bag retail bag upc 00521482 product packaging is flexible bags in a master case or flexible bags in cartons in a master case there are 24 1lb bags per case case upc 10052148200001 all products are intended to be s,Ajinomoto Foods North America Inc.,3/3/26,Foreign objects are glass varying in size from 1-3cm long and 2-4mm wide.,fda,Class II,"[AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WY]",,4/8/26
1141,9790852411,item 5650173 japanese style fried rice with edamame tofu and hijiki seaweed sku 097908 1lb per bag retail bag upc 00979085 product packaging is flexible bags in a master case or flexible bags in cartons in a master case there are 24 1lb bags per case case,Ajinomoto Foods North America Inc.,3/3/26,Foreign objects are glass varying in size from 1-3cm long and 2-4mm wide.,fda,Class II,"[AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WY]",,4/8/26
1142,10878810915,item 81097 ajinomoto ling ling restaurant style fried rice savory vegetable a chinese style fried rice with edamame carrots fire roasted corn red bell peppers prepared with sweet soy sauce infused rice 17oz retail box upc 010878810915 product packaging is,Ajinomoto Foods North America Inc.,3/3/26,Foreign objects are glass varying in size from 1-3cm long and 2-4mm wide.,fda,Class II,"[AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WY]",,4/8/26
1143,11110041623,item 81153 chinese inspiration vegetable fried rice blend of long grain rice assorted vegetables egg 22oz retail box upc 011110041623 product packaging is flexible bags in a master case or flexible bags in cartons in a master case there are 6 22oz boxes o,Ajinomoto Foods North America Inc.,3/3/26,Foreign objects are glass varying in size from 1-3cm long and 2-4mm wide.,fda,Class II,"[AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WY]",,4/8/26
1144,70077811465,item 81146 ajinomoto tai pei shrimp fried rice shrimp vegetables fried rice with oyster flavored sauce 48oz or 3lbs per box retail box upc 070077811465 product packaging is flexible bags in a master case or flexible bags in cartons in a master case there ,Ajinomoto Foods North America Inc.,3/3/26,Foreign objects are glass varying in size from 1-3cm long and 2-4mm wide.,fda,Class II,"[AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WY]",,4/8/26
1145,71757010109,item 6430153 ajinomoto vegetable gyoza dumplings 24 7oz per bag retail box upc 071757010109 product packaging is flexible bags in a master case or flexible bags in cartons in a master case there are 8 24 7oz bags or 12 34lb per case case upc 1007175701010,Ajinomoto Foods North America Inc.,3/3/26,Foreign objects are glass varying in size from 1-3cm long and 2-4mm wide.,fda,Class II,"[AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WY]",,4/8/26
1146,71757055483,item 6430143 ajinomoto vegetable gyoza dumplings 12ct 8 92oz per package retail package upc 071757055483 product packaging is flexible bags in a master case or flexible bags in cartons in a master case there are 20 8 92oz packages or 11 15 per case carton,Ajinomoto Foods North America Inc.,3/3/26,Foreign objects are glass varying in size from 1-3cm long and 2-4mm wide.,fda,Class II,"[AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WY]",,4/8/26
1147,71757508835,item 5650883 ajinomoto teppanyaki style vegetable fried rice japanese style fried rice made with colorful vegetables in an aromatic garlic butter sauce there are 6 9oz bags per box or 54oz per box retail box upc 071757508835 product packaging is flexible ,Ajinomoto Foods North America Inc.,3/3/26,Foreign objects are glass varying in size from 1-3cm long and 2-4mm wide.,fda,Class II,"[AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WY]",,4/8/26
1148,71757508934,item 5650893 ajinomoto japanese style vegetable fried rice made with hijiki seaweed fried tofu edamame and other colorful vegetables in an umami dashi sauce 17oz retail box upc 071757508934 product packaging is flexible bags in a master case or flexible b,Ajinomoto Foods North America Inc.,3/3/26,Foreign objects are glass varying in size from 1-3cm long and 2-4mm wide.,fda,Class II,"[AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WY]",,4/8/26
